Date,Species,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Month,Year,Station
2007-05-29,CULEX PIPIENS/RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,5,2007,1
2007-05-29,CULEX RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,5,2007,1
2007-05-29,CULEX RESTUANS,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,5,2007,1
2007-05-29,CULEX PIPIENS/RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,5,2007,1
2007-05-29,CULEX RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,5,2007,1
2007-05-29,CULEX RESTUANS,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,5,2007,2
2007-05-29,CULEX RESTUANS,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,5,2007,2
2007-05-29,CULEX PIPIENS/RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,5,2007,2
2007-05-29,CULEX RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,5,2007,2
2007-05-29,CULEX RESTUANS,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,5,2007,2
2007-05-29,CULEX PIPIENS/RESTUANS,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,5,2007,2
2007-05-29,CULEX PIPIENS/RESTUANS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,5,2007,2
2007-05-29,CULEX RESTUANS,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,5,2007,2
2007-05-29,CULEX PIPIENS/RESTUANS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,5,2007,2
2007-05-29,CULEX RESTUANS,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,5,2007,2
2007-05-29,CULEX RESTUANS,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,5,2007,2
2007-05-29,CULEX RESTUANS,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,5,2007,2
2007-05-29,CULEX RESTUANS,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,5,2007,2
2007-05-29,CULEX PIPIENS,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,5,2007,2
2007-05-29,CULEX PIPIENS/RESTUANS,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,5,2007,2
2007-05-29,CULEX RESTUANS,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,5,2007,2
2007-05-29,CULEX PIPIENS/RESTUANS,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,5,2007,1
2007-05-29,CULEX PIPIENS/RESTUANS,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,1,0,5,2007,1
2007-05-29,CULEX RESTUANS,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,5,2007,2
2007-05-29,CULEX RESTUANS,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,5,2007,2
2007-06-05,CULEX PIPIENS/RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,6,2007,1
2007-06-05,CULEX RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,6,2007,1
