Id,WnvPresent
1,0.05508251
2,0.04776545
3,0.016843999
4,0.02774268
5,0.0113418875
6,0.043282904
7,0.043282904
8,0.043282904
9,0.091714725
10,0.079943195
11,0.028821656
12,0.047099046
13,0.019484578
14,0.07267138
15,0.07267138
16,0.07267138
17,0.060910147
18,0.031862352
19,0.02286079
20,0.032227226
21,0.012768398
22,0.050208017
23,0.050208017
24,0.050208017
25,0.17625216
26,0.19400312
27,0.07368703
28,0.10123671
29,0.04234647
30,0.14848843
31,0.14848843
32,0.14848843
33,0.17625216
34,0.19400312
35,0.07368703
36,0.10123671
37,0.04234647
38,0.14848843
39,0.14848843
40,0.14848843
41,0.17625216
42,0.19400312
43,0.07368703
44,0.10123671
45,0.04234647
46,0.14848843
47,0.14848843
48,0.14848843
49,0.17625216
50,0.19400312
51,0.07368703
52,0.10123671
53,0.04234647
54,0.14848843
55,0.14848843
56,0.14848843
57,0.16869141
58,0.093352735
59,0.07029657
60,0.09435315
61,0.038890056
62,0.14191352
63,0.14191352
64,0.14191352
65,0.17625216
66,0.19400312
67,0.07368703
68,0.10123671
69,0.04234647
70,0.14848843
71,0.14848843
72,0.14848843
73,0.20790504
74,0.22796169
75,0.08323991
76,0.11888245
77,0.05145349
78,0.1762219
79,0.1762219
80,0.1762219
81,0.17625216
82,0.19400312
83,0.07368703
84,0.10123671
85,0.04234647
86,0.14848843
87,0.14848843
88,0.14848843
89,0.05317541
90,0.02133286
91,0.019356944
92,0.027350878
93,0.01055164
94,0.041766256
95,0.041766256
96,0.041766256
97,0.16869141
98,0.093352735
99,0.07029657
100,0.09435315
101,0.038890056
102,0.14191352
103,0.14191352
104,0.14191352
105,0.14704397
106,0.10117721
107,0.06897884
108,0.0832043
109,0.03440215
110,0.12319312
111,0.12319312
112,0.12319312
113,0.049031574
114,0.025494814
115,0.018258238
116,0.025788704
117,0.010176592
118,0.04032691
119,0.04032691
120,0.04032691
121,0.015834212
122,0.018441904
123,0.00553485
124,0.008202526
125,0.0033140194
126,0.012942926
127,0.012942926
128,0.012942926
129,0.16609555
130,0.18305089
131,0.062529005
132,0.09287622
133,0.0395359
134,0.13966052
135,0.13966052
136,0.13966052
