,Test Date,Species,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,DaylightDuration,midpt_Lat,midpt_Lon,Spray Date
0,29/5/2007,CULEX PIPIENS/RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.95780944,-87.780646,16/8/2013
1,29/5/2007,CULEX RESTUANS,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.95780944,-87.780646,16/8/2013
2,29/5/2007,CULEX RESTUANS,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,1,88,60,74,10,58,65,0,9,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.98227463,-87.8099525,9/7/2011
3,29/5/2007,CULEX PIPIENS/RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,1,88,60,74,10,58,65,0,9,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.98227463,-87.8099525,9/7/2011
4,29/5/2007,CULEX RESTUANS,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,1,88,60,74,10,58,65,0,9,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.39,30.11,5.8,18,6.5,2007,5,29,0 days 14:56:00.000000000,41.98227463,-87.8099525,9/7/2011
5,29/5/2007,CULEX RESTUANS,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2,88,65,77,10,59,66,0,12,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.93146677,-87.69703534,8/8/2013
6,29/5/2007,CULEX RESTUANS,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,1,0,2,88,65,77,10,59,66,0,12,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.86012944,-87.70326338,29/8/2013
7,29/5/2007,CULEX PIPIENS/RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2,88,65,77,10,59,66,0,12,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.86012944,-87.70326338,29/8/2013
8,29/5/2007,CULEX RESTUANS,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,2,88,65,77,10,59,66,0,12,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.86012944,-87.70326338,29/8/2013
9,29/5/2007,CULEX RESTUANS,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,2,88,65,77,10,59,66,0,12,29/5/2007 4:21,29/5/2007 19:17,BR HZ,0,0,0,29.44,30.09,5.8,16,7.4,2007,5,29,0 days 14:56:00.000000000,41.93146677,-87.69703534,8/8/2013
