,Date,Latitude,Longitude,Week
11609,2013-08-29,41.78563667,-87.71300333,35
11610,2013-08-29,41.78518667,-87.71299667,35
11611,2013-08-29,41.78462667,-87.712975,35
11612,2013-08-29,41.78417333,-87.71294333,35
11613,2013-08-29,41.7836,-87.71293167,35
11614,2013-08-29,41.783,-87.71290667,35
11615,2013-08-29,41.78245333,-87.71286667,35
11616,2013-08-29,41.78185333,-87.71286667,35
11617,2013-08-29,41.78126167,-87.71283333,35
11618,2013-08-29,41.78074167,-87.71279833,35
11619,2013-08-29,41.78008667,-87.71276833,35
11620,2013-08-29,41.77948167,-87.71275,35
11621,2013-08-29,41.77871833,-87.71269333,35
11622,2013-08-29,41.77819,-87.71269000000002,35
11623,2013-08-29,41.77768,-87.712685,35
11624,2013-08-29,41.77723333,-87.71267167,35
11625,2013-08-29,41.77667667,-87.71266,35
11626,2013-08-29,41.77621333,-87.71265,35
11627,2013-08-29,41.775755,-87.712645,35
11628,2013-08-29,41.77534333,-87.71263333,35
11629,2013-08-29,41.77476833,-87.71262167,35
11630,2013-08-29,41.774305,-87.71261167,35
11631,2013-08-29,41.773845,-87.71259667,35
11632,2013-08-29,41.773375,-87.712585,35
11633,2013-08-29,41.77286333,-87.71257,35
11634,2013-08-29,41.77232667,-87.71255667,35
11635,2013-08-29,41.77187,-87.71254333,35
11636,2013-08-29,41.77187833,-87.70784833,35
11637,2013-08-29,41.77236,-87.70784499999998,35
11638,2013-08-29,41.77289,-87.70789,35
11639,2013-08-29,41.77341833,-87.70789167,35
11640,2013-08-29,41.77401333,-87.70793499999998,35
11641,2013-08-29,41.77445833,-87.70795667,35
11642,2013-08-29,41.77509333,-87.70798333,35
11643,2013-08-29,41.77564667,-87.70800167,35
11644,2013-08-29,41.77626833,-87.70801,35
11645,2013-08-29,41.77692833,-87.708035,35
11646,2013-08-29,41.77759,-87.70805667,35
11647,2013-08-29,41.77820167,-87.70807333,35
11648,2013-08-29,41.779055,-87.70807333,35
11649,2013-08-29,41.77971167,-87.70810333,35
11650,2013-08-29,41.78034667,-87.70811667,35
11651,2013-08-29,41.78097,-87.70813667,35
11652,2013-08-29,41.78161667,-87.70814833,35
11653,2013-08-29,41.78224167,-87.70815999999998,35
11654,2013-08-29,41.78285333,-87.70816667,35
11655,2013-08-29,41.78339667,-87.70820333,35
11656,2013-08-29,41.78395167,-87.708225,35
11657,2013-08-29,41.78456833,-87.70823667,35
11658,2013-08-29,41.78601,-87.70599833,35
11659,2013-08-29,41.78557833,-87.70584000000002,35
11660,2013-08-29,41.78499833,-87.70581999999997,35
11661,2013-08-29,41.78433333,-87.705805,35
11662,2013-08-29,41.7837,-87.70578167,35
11663,2013-08-29,41.78304833,-87.70575333,35
11664,2013-08-29,41.78243333,-87.70573667,35
11665,2013-08-29,41.78182833,-87.70569,35
11666,2013-08-29,41.78120333,-87.70567167,35
11667,2013-08-29,41.78055333,-87.70564499999998,35
11668,2013-08-29,41.77990167,-87.70561167,35
11669,2013-08-29,41.77928333,-87.70558833,35
11670,2013-08-29,41.77863167,-87.70555167,35
11671,2013-08-29,41.77809833,-87.70554333,35
11672,2013-08-29,41.77751833,-87.70552167,35
11673,2013-08-29,41.77689,-87.70550167,35
11674,2013-08-29,41.77625,-87.70548000000002,35
11675,2013-08-29,41.77558333,-87.70546667,35
11676,2013-08-29,41.77500333,-87.70544667,35
11677,2013-08-29,41.77444167,-87.70543,35
11678,2013-08-29,41.77381,-87.70541167,35
11679,2013-08-29,41.77317,-87.70538667,35
11680,2013-08-29,41.77251500000001,-87.70535667,35
11681,2013-08-29,41.77177333,-87.71000667,35
11682,2013-08-29,41.77213833,-87.71020833,35
11683,2013-08-29,41.77271167,-87.71021333,35
11684,2013-08-29,41.77334167,-87.71023167,35
11685,2013-08-29,41.77396,-87.71025833,35
11686,2013-08-29,41.774585,-87.71027833,35
11687,2013-08-29,41.775295,-87.71030167,35
11688,2013-08-29,41.77595333,-87.71032333,35
11689,2013-08-29,41.776615,-87.710365,35
11690,2013-08-29,41.77722833,-87.710385,35
11691,2013-08-29,41.77795833,-87.71040667,35
11692,2013-08-29,41.77875167,-87.71044833,35
11693,2013-08-29,41.77936167,-87.71049000000002,35
11694,2013-08-29,41.779835,-87.710515,35
11695,2013-08-29,41.78038,-87.71053333,35
11696,2013-08-29,41.78094,-87.71058000000002,35
11697,2013-08-29,41.78138667,-87.71059833,35
11698,2013-08-29,41.78201167,-87.71062167,35
11699,2013-08-29,41.78259,-87.71064667,35
11700,2013-08-29,41.78324833,-87.71064667,35
11701,2013-08-29,41.78386167,-87.71068333,35
11702,2013-08-29,41.78449000000001,-87.71070167,35
11703,2013-08-29,41.78517,-87.71071500000002,35
11704,2013-08-29,41.78575667,-87.71072,35
11705,2013-08-29,41.771905,-87.70058,35
11706,2013-08-29,41.772205,-87.70062,35
11707,2013-08-29,41.772685,-87.70059333,35
11708,2013-08-29,41.77321167,-87.70059333,35
11709,2013-08-29,41.77371167,-87.70060167,35
11710,2013-08-29,41.774535,-87.70063333,35
11711,2013-08-29,41.774925,-87.70065333,35
11712,2013-08-29,41.77537167,-87.70067,35
11713,2013-08-29,41.77583833,-87.70068333,35
11714,2013-08-29,41.77625,-87.70071167,35
11715,2013-08-29,41.77669833,-87.70071333,35
11716,2013-08-29,41.77718167,-87.70071333,35
11717,2013-08-29,41.777705,-87.70073167,35
11718,2013-08-29,41.77818667,-87.70072667,35
11719,2013-08-29,41.77844833,-87.701915,35
11720,2013-08-29,41.77807333,-87.70189667,35
11721,2013-08-29,41.77761333,-87.70189833,35
